24/05/2018;31/05/2018;abc0030;G;net.privacy;Caro Clientedal 25/05 sarà disponibile la nuova versione del modulo Data Protection di myvem (ex net.privacy). Data Protection è il modulo di my.vem dedicato alla gestione degli adempimenti richiesti dal GDPR 2016/679.Per maggiori informazioni si prega di visionare l'allegato cliccando su "mostra dettaglio".;
11/05/2018;18/05/2018;abc0029;Tutti;Scarica l'app myvem;Per un servizio ancora più integrato e flessibile è possibile scaricare sul proprio dispositivo mobile l’app di myvem disponibile negli store Apple e Android.In questo modo potrai monitorare lo stato della tua infrastruttura ICT e contattare il nostro NOC/SOC con facilità e rapidità direttamente dal tuo smartphone o dal tuo tablet.;
17/04/2018;24/04/2018;abc0028;Tutti;nuovo layout portale myvem-indicazioni utili;Gentile Cliente come annunciato il 16 aprile è stata rilasciata la nuova interfaccia grafica del portale myvem. In caso di problemi di visualizzazione si consiglia di svuotare la cache del browser e di rifare login. Per ogni chiarimento contattare il Backoffice Servizi backoffice@vem.com 0543-725005.;
11/04/2018;18/04/2018;abc0027;Tutti;nuovo layout portale;Gentile Cliente ti annunciamo che dal 16 aprile sarà inaugurata la nuova interfaccia grafica del portale myvem. La nuova interfaccia rivisita i menu in alto e di sinistra non cambiano le funzionalità del portale. Si consiglia di svuotare la cache del browser e di rifare login. Per maggiori informazioni si rimanda all'allegato (mostra dettaglio). Per ogni chiarimento contattare il Backoffice Servizi backoffice@vem.com 0543-725005.;
13/11/2017;20/11/2017;abc0026;Y A;Numero di telefono fisso alternativo;IMPORTANTE causa disservizio prolungato sulle linee telefoniche fisse i nostri numeri sono temporaneamente irraggiungibili. Abbiamo predisposto un numero alternativo al quale potete contattarci 0543/1908084 in attesa che vengano ripristinati i vecchi numeri. Tutte le altre modalità di accesso al NOC/SOC restano invariate e sono correttamente funzionanti.;
26/05/2017;02/06/2017;abc0025;Y A;Aggiornamento procedura apertura ticket via web;Gentile clientela presente per informarti che domenica 28 maggio verrà introdotta una modifica nell'apertura dei ticket con particolare riferimento al campo "Priorità".Ti preghiamo di prendere visione della procedura in allegato in cui sono dettagliate le modifiche introdotte.Restiamo a disposizione per qualsiasi chiarimento.CordialmenteBackoffice Servizibackoffice@vem.com;
18/04/2017;25/04/2017;abc0024;Tutti;Manutenzione ordinaria;Gentile cliente si informa che il 19 aprile 2017 dalle ore 0600 alle 0700 verrà effettuata una rinegoziazione della connessione VPN my.vem. Questa operazione potrebbe comportare un evento di caduta del monitoraggio con conseguente riattivazione.Il nostro NOC/SOC è a disposizione per ogni chiarimento.;
04/01/2017;11/01/2017;abc0023;Tutti;Manutenzione portale myvem;Gentile cliente ti informiamo che il 4 gennaio 2017 dalle ore 13 alle ore 1330 verrà effettuata una manutenzione ordinaria del portale my.vem. Lo stesso non sarà disponibile per circa 30 minuti. Ci scusiamo per il disagio.Per ogni chiarimento contattare il Backoffice Servizi backoffice@vem.com - telefono 0543/725005.;
21/11/2016;28/11/2016;abc0022;C;net.config nuova grafica e nuove funzionalità;Caro clienteè con piacere che ti comunichiamo che a partire dal 28 novembre p.v. verrà pubblicata la nuova versione del servizio net.config.Il servizio è stato completamente rivisto per quanto riguarda la veste grafica e sono state introdotte nuove funzionalità. Per conoscere nel dettaglio le modifiche apportate ti invitiamo a leggere il documento in allegato.Per qualsiasi chiarimento e/o approfondimento sul servizio net.config ti inviatiamo a scrivere a backoffice@vem.com;
27/03/2016;03/04/2016;abc0021;Tutti;Manutenzione portale myvem;Gentile cliente si informa che il 30 marzo 2016 alle ore 1300 verrà effettuata una manutenzione ordinaria del portale my.vem. Lo stesso non sarà disponibile per 10 minuti. Per ogni chiarimento contattare il Backoffice Servizi backoffice@vem.com - telefono 0543/725005.;
07/03/2016;14/03/2016;abc0020;Y A;Codice telefonico di accesso NOC/SOC;Gentile clienteè con piacere che ti informiamo che da oggi è possibile visualizzare il tuo codice telefonico per l’accesso al NOC/SOC direttamente dalla sezione “help desk” del portale myvem.comNella pagina “Elenco ticket” comparirà come ultima colonna il  codice di accesso (6 cifre) che ti permetterà di parlare direttamente con un operatore del NOC/SOC (dopo aver composto lo 0543/725005  > scelta 1 del risponditore automatico).Per ogni chiarimento contattare il backoffice servizi backoffice@vem.com - telefono 0543-725005.;
04/12/2015;11/12/2015;abc0019;Tutti;Nuova sezione Impostazioni;Gentile Cliente ti annunciamo che dal 9 dicembre sarà pubblicata la nuova sezione impostazioni.Per maggiori dettagli scarica il pdf allegato.Per ogni chiarimento contattare il Backoffice Servizi backoffice@vem.com 0543-725005.;
04/06/2015;11/06/2015;abc0018;M;Nuova grafica net.watch;Gentile Cliente ti annunciamo che dal 15 giugno sarà inaugurata la nuova interfaccia grafica di net.watch. Oltre a migliorare la user experience degli utenti la nuova interfaccia prevede alcune nuove funzionalità. Per maggiori informazioni si rimanda all'allegato.Per ogni chiarimento contattare il Backoffice Servizi backoffice@vem.com 0543-725005.;
02/09/2014;09/09/2014;abc0017;MYA;Nuove icone monitor.map e area Helpdesk;E' in corso la revisione grafica del portale my.vem.1) L'08 settembre c.a. sarà pubblicata la nuova versione della sezione HELPDESK del portale sezione da cui è possibile aprire ticket al nostro NOC/SOC. Tale versione differisce dalla precedente per la grafica e per l'adeguamento della terminologia alle best practices ITIL.2) Il 15 settembre c.a. saranno pubblicate le nuove icone monitor.map della sezione monitoraggio (net.watch). In allegato potrete visionare in anteprima le icone nuove.;
24/06/2014;01/07/2014;abc0016;M;Vulnerabilità IOS Cisco;E' disponibile l'elenco di vulnerabilità presenti nei software Cisco IOS e NX-OS.Per visionare la funzionalità basta entrare in Monitoraggio->Asset e scorrere fino alla tabella Vulnerabilità. Per ogni informazione aggiuntiva fare riferimento al Services Backoffice emailbackoffice@vem.com telefono 0543-725005.;
22/05/2014;29/05/2014;abc0015;M;allarme sonoro;E' stato introdotta la possibilità di scegliere se abilitare o disabilitare l'audio a fronte di allarmi. Di default l'allarme sonoro è abilitato. Per disabilitarlo basta andare nella pagina allarmi e in alto a destra compare il simbolo dell'audio con a fianco la casella da spuntare a seconda del desiderata. Per ogni chiarimento fare riferimento al Services Backoffice mail backoffice@vem.com - telefono 0543-725005. ;
